"critic_score","user_score","critic_count","user_count","score_id"
0,0,0,0,925
82,7.7,39,145,926
0,0,0,0,927
76,4.1,19,91,928
78,9.1,17,90,929
0,0,0,0,930
0,0,0,0,931
86,6.7,39,41,932
71,8.5,32,24,933
0,0,0,0,934
74,8.4,12,248,935
0,0,0,0,936
71,7.9,18,75,937
70,7.4,16,8,938
73,6.5,42,403,939
94,8.1,16,297,940
84,8.6,55,246,941
76,7.9,37,84,942
0,0,0,0,943
87,7.8,31,790,944
0,0,0,0,945
82,7.9,22,76,946
80,4.5,4,8,947
87,8.5,25,36,948
0,0,0,0,949
67,8.3,25,66,950
0,0,0,0,951
0,0,0,0,952
80,8.8,68,206,953
0,0,0,0,954
0,0,0,0,955
70,7.5,24,28,956
0,0,0,0,957
0,0,0,0,958
83,8.4,90,932,959
82,4.8,42,1265,960
0,0,0,0,961
72,6,9,5,962
85,7.9,17,70,963
89,8.9,81,1441,964
96,8.9,54,797,965
82,8.2,27,11,966
0,0,0,0,967
94,8,36,84,968
68,5.1,66,1147,969
88,9,64,178,970
0,8,0,13,971
83,8.3,23,46,972
80,6,54,148,973
0,0,0,0,974
89,7.6,46,105,975
87,7.9,85,863,976
75,7.3,65,1223,977
90,8.9,62,491,978
0,0,0,0,979
0,0,0,0,980
0,0,0,0,981
85,8.5,41,47,982
0,0,0,0,983
57,7.6,53,47,984
47,6.6,21,129,985
0,0,0,0,986
0,0,0,0,987
87,8.6,35,44,988
75,7.4,30,27,989
76,7.7,7,10,990
0,0,0,0,991
0,0,0,0,992
0,0,0,0,993
84,8.1,58,47,994
75,9,5,54,995
91,9.3,29,198,996
0,0,0,0,997
0,0,0,0,998
83,8.9,46,73,999
84,6.1,29,27,1000
71,5.7,34,33,1001
0,0,0,0,1002
70,8.2,25,24,1003
84,8,25,21,1004
0,0,0,0,1005
80,9.1,55,57,1006
0,0,0,0,1007
82,4.9,35,83,1008
83,8,66,291,1009
0,0,0,0,1010
0,0,0,0,1011
0,0,0,0,1012
0,0,0,0,1013
81,7.1,28,47,1014
83,8,75,340,1015
65,6.8,38,135,1016
55,6.2,6,6,1017
0,0,0,0,1018
0,0,0,0,1019
0,0,0,0,1020
83,8.7,35,99,1021
0,5.1,0,383,1022
55,3.5,61,145,1023
78,8.3,38,444,1024
0,0,0,0,1025
0,0,0,0,1026
63,6.6,94,3172,1027
